state,bill_number,title,description,url,session,session_year,sponsors,subjects,last_action
AL,SB3,"Law enforcement, authorizes Attorney General or Governor to appoint interim police chief subject to certain conditions","Law enforcement, authorizes Attorney General or Governor to appoint interim police chief subject to certain conditions",https://legiscan.com/AL/bill/SB3/2025,2025 Regular Session,2025-2025,Will Barfoot,Public Safety & Emergencies; State Government,Prefiled
AL,HB14,"Law enforcement, authorizes Attorney General or Governor to appoint interim police chief subject to certain conditions","Law enforcement, authorizes Attorney General or Governor to appoint interim police chief subject to certain conditions",https://legiscan.com/AL/bill/HB14/2025,2025 Regular Session,2025-2025,Reed Ingram,Public Safety & Emergencies; State Government,Prefiled
AL,SB183,Ma-Chis Lower Creek Indian Tribe; authorization to hire a police officer,Ma-Chis Lower Creek Indian Tribe; authorization to hire a police officer,https://legiscan.com/AL/bill/SB183/2025,2025 Regular Session,2025-2025,Joshua Carnley,Public Safety & Emergencies,Read for the first time and referred to the Senate Committee on Judiciary
AL,HB361,Ma-Chis Lower Creek Indian Tribe; authorization to hire a police officer,Ma-Chis Lower Creek Indian Tribe; authorization to hire a police officer,https://legiscan.com/AL/bill/HB361/2025,2025 Regular Session,2025-2025,Matthew Hammett,Public Safety & Emergencies,Read for the first time and referred to the House Committee on Public Safety and Homeland Security
AL,HB366,Police dogs; emergency medical services personnel authorized to provide medical care and transport to those injured in line of duty; immunity from liability therefor provided,Police dogs; emergency medical services personnel authorized to provide medical care and transport to those injured in line of duty; immunity from liability therefor provided,https://legiscan.com/AL/bill/HB366/2025,2025 Regular Session,2025-2025,Rick Rehm,Animals,Read for the first time and referred to the House Committee on Agriculture and Forestry
AL,SB4,"School safety, permits sheriffs and chiefs of police to contract with nonpublic schools to provide school resource officers","School safety, permits sheriffs and chiefs of police to contract with nonpublic schools to provide school resource officers",https://legiscan.com/AL/bill/SB4/2025,2025 Regular Session,2025-2025,Chris Elliott,Education,Prefiled
AL,HB105,"Law enforcement officers, retirement benefits further provided for","Law enforcement officers, retirement benefits further provided for",https://legiscan.com/AL/bill/HB105/2025,2025 Regular Session,2025-2025,Chad Robertson,State & State Officers,Prefiled
AL,HB255,"Employees' Retirement System of Alabama, State Police Tier II Plan  members paid for up to 80 hours unused annual leave over 480 hours per year","Employees' Retirement System of Alabama, State Police Tier II Plan  members paid for up to 80 hours unused annual leave over 480 hours per year",https://legiscan.com/AL/bill/HB255/2025,2025 Regular Session,2025-2025,Phillip Pettus,Retirement,Read for the first time and referred to the House Committee on Ways and Means General Fund
AL,HB34,"Law enforcement officers, giving false name or address, date of birth included, refusal to respond if part of a lawful stop, criminal penalties","Law enforcement officers, giving false name or address, date of birth included, refusal to respond if part of a lawful stop, criminal penalties",https://legiscan.com/AL/bill/HB34/2025,2025 Regular Session,2025-2025,Ron Bolton,Crimes & Offenses,Prefiled
AL,HB88,Board of Pardons and Paroles; probation and parole officers specified as state law enforcement officers,Board of Pardons and Paroles; probation and parole officers specified as state law enforcement officers,https://legiscan.com/AL/bill/HB88/2025,2025 Regular Session,2025-2025,Jerry Starnes,Public Safety & Emergencies,Prefiled
AL,HB202,Law Enforcement Officers; civil and criminal immunity expanded,Law Enforcement Officers; civil and criminal immunity expanded,https://legiscan.com/AL/bill/HB202/2025,2025 Regular Session,2025-2025,Rex Reynolds,Public Safety & Emergencies,Read for the first time and referred to the House Committee on Judiciary
AL,SB129,Law Enforcement Officers; civil and criminal immunity expanded,Law Enforcement Officers; civil and criminal immunity expanded,https://legiscan.com/AL/bill/SB129/2025,2025 Regular Session,2025-2025,Lance Bell,Public Safety & Emergencies,Read for the first time and referred to the Senate Committee on Judiciary
AL,HB287,"Municipal police departments; report number of law enforcement officers employed by department to Alabama Justice Information Commission, ALEA, and Attorney General","Municipal police departments; report number of law enforcement officers employed by department to Alabama Justice Information Commission, ALEA, and Attorney General",https://legiscan.com/AL/bill/HB287/2025,2025 Regular Session,2025-2025,Juandalynn Givan,Public Safety & Emergencies,Read for the first time and referred to the House Committee on County and Municipal Government
AL,HB356,"Crimes and offenses, penalty increased for crimes of making a terrorist threat in the first or second degree, principal to immediately contact law enforcement of terrorist threat, suspension of student, readmittance, and restitution provided","Crimes and offenses, penalty increased for crimes of making a terrorist threat in the first or second degree, principal to immediately contact law enforcement of terrorist threat, suspension of student, readmittance, and restitution provided",https://legiscan.com/AL/bill/HB356/2025,2025 Regular Session,2025-2025,Matt Woods,Crimes & Offenses,Read for the first time and referred to the House Committee on Judiciary
AL,HB188,"Scholarship program, to create for dependents of long-term law enforcement officers","Scholarship program, to create for dependents of long-term law enforcement officers",https://legiscan.com/AL/bill/HB188/2025,2025 Regular Session,2025-2025,Allen Treadaway,Education,Read for the first time and referred to the House Committee on Ways and Means Education
AL,HB202,Law Enforcement Officers; civil and criminal immunity expanded,Law Enforcement Officers; civil and criminal immunity expanded,https://legiscan.com/AL/bill/HB202/2025,2025 Regular Session,2025-2025,Rex Reynolds,Public Safety & Emergencies,Read for the first time and referred to the House Committee on Judiciary
AL,SB129,Law Enforcement Officers; civil and criminal immunity expanded,Law Enforcement Officers; civil and criminal immunity expanded,https://legiscan.com/AL/bill/SB129/2025,2025 Regular Session,2025-2025,Lance Bell,Public Safety & Emergencies,Read for the first time and referred to the Senate Committee on Judiciary
AL,SB24,"Criminal procedure, revises release of law enforcement recordings","Criminal procedure, revises release of law enforcement recordings",https://legiscan.com/AL/bill/SB24/2025,2025 Regular Session,2025-2025,Merika Coleman-Evans,Criminal Procedure,Prefiled
AL,HB287,"Municipal police departments; report number of law enforcement officers employed by department to Alabama Justice Information Commission, ALEA, and Attorney General","Municipal police departments; report number of law enforcement officers employed by department to Alabama Justice Information Commission, ALEA, and Attorney General",https://legiscan.com/AL/bill/HB287/2025,2025 Regular Session,2025-2025,Juandalynn Givan,Public Safety & Emergencies,Read for the first time and referred to the House Committee on County and Municipal Government
